"title","author","year","genre","openlibrary_work_key","synopsis","periodo"
"The Lost World","Arthur Conan Doyle","1900","Fantasy","/works/OL262460W","Journalist Ed Malone is looking for an adventure, and that's exactly what he finds when he meets the eccentric Professor Challenger - an adventure that leads Malone and his three companions deep into the Amazon jungle, to a lost world where dinosaurs roam free.","1900-1949"
"The Marvelous Land of Oz","L. Frank Baum","1904","Fantasy","/works/OL18396W","Tip and his creation, Jack Pumpkin, run away to Oz, where they save the city after it is captured by girls.","1900-1949"
"Ozma of Oz","L. Frank Baum","1907","Fantasy","/works/OL18415W","When a storm blows Dorothy to the land of Ev where lunches grow on trees, she meets the Scarecrow, the Tin Woodman, the Cowardly Lion, and Princess Ozma, and together they set out to free the Queen of Ev and her ten children.","1900-1949"
"Le petit prince","Antoine de Saint-Exupéry","1943","Fantasy","/works/OL10263W","*Le Petit Prince* est une œuvre de langue française, la plus connue d'Antoine de Saint-Exupéry. Publié en 1943 à New York simultanément à sa traduction anglaise, c'est une œuvre poétique et philosophique sous l'apparence d'un conte pour enfants.

Traduit en quatre cent cinquante-sept langues et dialectes, *Le Petit Prince* est le deuxième ouvrage le plus traduit au monde après la Bible.

Le langage, simple et dépouillé, parce qu'il est destiné à être compris par des enfants, est en réalité pour le narrateur le véhicule privilégié d'une conception symbolique de la vie. Chaque chapitre relate une rencontre du petit prince qui laisse celui-ci perplexe, par rapport aux comportements absurdes des « grandes personnes ». Ces différentes rencontres peuvent être lues comme une allégorie.

Les aquarelles font partie du texte et participent à cette pureté du langage : dépouillement et profondeur sont les qualités maîtresses de l'œuvre.

On peut y lire une invitation de l'auteur à retrouver l'enfant en soi, car « toutes les grandes personnes ont d'abord été des enfants. (Mais peu d'entre elles s'en souviennent.) ». L'ouvrage est dédié à Léon Werth, mais « quand il était petit garçon ».

(Wikipedia)","1900-1949"
"The Emerald City of Oz","L. Frank Baum","1910","Fantasy","/works/OL18409W","From the book:Perhaps I should admit on the title page that this book is ""By L. Frank Baum and his correspondents,"" for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself ""an author of fairy tales,"" but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requestsed to weave into the thread of my stories. These ideas are often clever. They are also logical and interesting. So I have used them whenever I could find an opportunity, and it is but just that I acknowledge my indebtedness to my little friends.","1900-1949"
"Dorothy and the Wizard in Oz","L. Frank Baum","1908","Fantasy","/works/OL18412W","Dorothy and the Wizard in Oz is the fourth book in Baum's Oz series. The series chronicles the further adventures of Dorothy both in and out of Oz, as she deals with the characters, situations and desires which continue to spill over from her first fateful adventure.","1900-1949"
"The Lost Princess of Oz","L. Frank Baum","1917","Fantasy","/works/OL18411W","When Princess Ozma and all the magic of the Land of Oz are mysteriously stolen away, Dorothy and the other residents of Oz are determined to find their missing ruler and the thief responsible for her disappearance.","1900-1949"
"The Story of the Amulet","Edith Nesbit","1905","Fantasy","/works/OL407476W","","1900-1949"
"The Complete Life and Adventures of Santa Claus","L. Frank Baum","1902","Fantasy","/works/OL262358W","From the book:Have you heard of the great Forest of Burzee? Nurse used to sing of it when I was a child. She sang of the big tree-trunks, standing close together, with their roots intertwining below the earth and their branches intertwining above it; of their rough coating of bark and queer, gnarled limbs; of the bushy foliage that roofed the entire forest, save where the sunbeams found a path through which to touch the ground in little spots and to cast weird and curious shadows over the mosses, the lichens and the drifts of dried leaves.","1900-1949"
"Alice's Adventures in Wonderland / Through the Looking Glass","Lewis Carroll","1889","Fantasy","/works/OL151411W","A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make-believe--a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
--back cover

Contains:

 - [Alice's Adventures in Wonderland](https://openlibrary.org/works/OL8193508W)
 - [Through the Looking Glass, and What Alice Found There][2]

  [2]: https://openlibrary.org/works/OL15298516W","1850-1899"
"The Road to Oz","L. Frank Baum","1909","Fantasy","/works/OL262390W","Dorothy and her friends follow the enchanted road to Oz and arrive in time for Ozma's birthday party.","1900-1949"
"Nineteen Eighty-Four","George Orwell","1949","Fantasy","/works/OL1168083W","Nineteen Eighty-Four: A Novel, often referred to as 1984, is a dystopian social science fiction novel by the English novelist George Orwell (the pen name of Eric Arthur Blair). It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, Nineteen Eighty-Four centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated.

----------		
Also contained in:		
[Novels (Animal Farm / Burmese Days / Clergyman's Daughter / Coming Up for Air / Keep the Aspidistra Flying / Nineteen Eighty-Four)](https://openlibrary.org/works/OL1168045W)		
[Novels (Animal Farm / Nineteen Eighty-Four)](https://openlibrary.org/works/OL1167981W)
[Orwell's Nineteen Eighty-Four: Text, Sources, Criticism](https://openlibrary.org/works/OL1168095W)","1900-1949"
"The Sea Fairies","L. Frank Baum","1911","Fantasy","/works/OL262384W","This is a tale of life beneath the sea, of mermaids and sea serpents and other strange inhabitants of the ocean depths. A little girl named Trot and Cap'n Bill, an old sailor, are invited by several mermaids to come and visit their under-water home. Baum wrote this story in the hope of interesting his readers in something other than Oz; in the preface he writes: ""I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences."" Of course, he did not succeed in distracting his fans from Oz, yet the book was eagerly read; the result of this attempt was that he was forced to introduce Trot and Cap'n Bill into the later Oz stories.","1900-1949"
"Baum's American Fairy Tales","L. Frank Baum","1901","Fantasy","/works/OL262341W","","1900-1949"
"Sky Island","L. Frank Baum","1912","Fantasy","/works/OL262385W","Button-Bright's adventures begin when he finds a magic umbrella that will carry him anywhere in the world.","1900-1949"
"The Scarecrow of Oz","L. Frank Baum","1915","Fantasy","/works/OL262352W","The adventures of Trot and Cap'n Bill take them to Oz where they help solve the problem of Pom, whose truelove's heart has been turned to ice by witches.","1900-1949"
"The Patchwork Girl of Oz","L. Frank Baum","1913","Fantasy","/works/OL18405W","""Where's the butter, Unc Nunkie?"" asked Ojo.","1900-1949"
"The Magic of Oz","L. Frank Baum","1919","Fantasy","/works/OL262380W","A young citizen of Oz who learns an important magic word falls prey to the wickedness of the Nomes' ex-king who wants to destroy Dorothy, the Wizard, and Princess Ozma.","1900-1949"
"Tik-Tok of Oz","L. Frank Baum","1914","Fantasy","/works/OL18414W","This book introduces Ann Soforth, Queen of Oogaboo, whom Tik-Tok, the clockwork man, assists in conquering the Nome King. Book 8 in L. Frank Baum's immortal OZ series, in which Betsy Bobbin and Hank the Mule are shipwrecked on the coast of Oz, meet up with the invading army of Queen Ann of Oogaboo, and help the Shaggy Man rescue his brother from the evil Nome King.","1900-1949"
"Rinkitink in Oz","L. Frank Baum","1916","Fantasy","/works/OL262376W","When all the inhabitants of Pingaree are kidnapped by the mongrel hordes of twin island kingdoms, Prince Inga and his friend King Rinkitink decide to go to the rescue.","1900-1949"
"The Enchanted Castle","Edith Nesbit","1907","Fantasy","/works/OL99541W","E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.","1900-1949"
"Phantastes","George MacDonald","1850","Fantasy","/works/OL15450W","One of George MacDonald's most important works, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land. It is the fairy tale of deep spiritual insight as Anotos makes his way through moments of uncertainty and peril and mistakes that can have irreversible consequences. This is also his spiritual quest that is destined to end with the supreme surrender of the self. When he finally experiences the hard-won surrender, a wave of joy overwhelms him. His intense personal introspection is honest as he is offered the full range of symbolic choices--great beauty, horrifying ugliness, irritating goblins, nurturing spirits. Each confrontation in Fairy Land allows Anotos to learn many necessary lessons. As he continues on the journey, many shadowy beings threaten his spiritual well-being and compel him to sing. The songs are irresistible to a beautiful White Lady who is freed from inside a statue by the music, and Anotos remains captivated by her for a long time. He sees the world more objectively; his trek invites a natural descent into feelings of pride and egotism. But his losses and sorrows coalesce themselves into things of grace, and these experiences help his spiritual growth.     Please Note:  This book has been reformatted to be easy to read in true text, not scanned images that can sometimes be difficult to decipher.  The Microsoft eBook has a contents page linked to the chapter headings for easy navigation. The Adobe eBook has bookmarks at chapter headings and is printable up to two full copies per year.  Both versions are text searchable.","1850-1899"
"The Tin Woodman of Oz","L. Frank Baum","1918","Fantasy","/works/OL262381W","From the book:The Tin Woodman sat on his glittering tin throne in the handsome tin hall of his splendid tin castle in the Winkie Country of the Land of Oz. Beside him, in a chair of woven straw, sat his best friend, the Scarecrow of Oz. At times they spoke to one another of curious things they had seen and strange adventures they had known since first they two had met and become comrades. But at times they were silent, for these things had been talked over many times between them, and they found themselves contented in merely being together, speaking now and then a brief sentence to prove they were wide awake and attentive. But then, these two quaint persons never slept. Why should they sleep, when they never tired?","1900-1949"
"The Hobbit","J.R.R. Tolkien","1937","Fantasy","/works/OL27482W","The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded gold. A reluctant partner in this perilous quest is Bilbo Baggins, a comfort-loving unambitious hobbit, who surprises even himself by his resourcefulness and skill as a burglar.

Encounters with trolls, goblins, dwarves, elves, and giant spiders, conversations with the dragon, Smaug, and a rather unwilling presence at the Battle of Five Armies are just some of the adventures that befall Bilbo.

Bilbo Baggins has taken his place among the ranks of the immortals of children’s fiction. Written by Professor Tolkien for his children, The Hobbit met with instant critical acclaim when published.","1900-1949"
"Glinda of Oz","L. Frank Baum","1920","Fantasy","/works/OL262391W","The Sorceress and Wizard of Oz attempt to save Princess Ozma and Dorothy from the dangers which threaten them when they try to bring peace to two warring tribes.","1900-1949"
"The Magic City","Edith Nesbit","1910","Fantasy","/works/OL99535W","An extremely unhappy ten-year-old magically escapes into a city he has built out of books, chessmen, candlesticks, and other household items.","1900-1949"
"Peter Pan","J. M. Barrie","1911","Fantasy","/works/OL462007W","The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow up.


----------
###German-language description:
Peter Pan, das ist der Junge, der nie erwachsen wird und auf einer Insel lebt, auf der alles möglich st. Wendy und ihre Brüder können noch nicht ahnen, was sie erwartet, als sie auf der Insel landen: Zusammen mit anderen Kindern geraten sie in die Hände gefährlicher Piraten! Doch Rettung naht, denn auf Peter Pan können sich seine Freunde verlassen.","1900-1949"
"The Phoenix and the Carpet","Edith Nesbit","1903","Fantasy","/works/OL99539W","Five British children discover in their new carpet an egg, which hatches into a phoenix that takes them on a series of fantastic adventures around the world.","1900-1949"
"Le avventure di Pinocchio","Carlo Collodi","1883","Fantasy","/works/OL1527356W","A wooden puppet full of tricks and mischief wants more than anything else to become a real boy.","1850-1899"
"Le Tour du Monde en Quatre-Vingts Jours","Jules Verne","1872","Fantasy","/works/OL1100007W","Phileas Fogg, a very punctual man had broken into an argument while conversing about the recent bank robbery. To keep his word of proving that he would travel around the world in 80 days and win the bet, he sets on a long trip, where he is joined by a few other people on the way. A wonderful adventure is about to begin!","1850-1899"
"Harry Potter and the Philosopher's Stone","J. K. Rowling","1997","Fantasy","/works/OL82563W","Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.

HARRY POTTER has never even heard of Hogwarts when the LETTERS start dropping on the doormat at number four, Privet Drive. Addressed in GREEN INK on yellowish parchment with a PURPLE SEAL, they are swiftly confiscated by his GRISLY aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called RUBEUS HAGRID bursts in with some ASTONISHING news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!","1990-1999"
"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance","William Morris","1890","Fantasy","/works/OL47721W","""Written in 1890, at the close of William Morris's most intense period of political activism, News from Nowhere is a compelling articulation of his mature views on art, work, community, family, and the nature and structure of the ideal society. A utopian narrative of a future society, it is also an immensely entertaining novel."".

""This Broadview edition includes a wide variety of contextualizing documents, including portions of Morris's essays, lectures, and journalism; excerpts from precursor utopian texts; writings on Bloody Sunday, art, work, and revolution; and contemporary reviews.""--BOOK JACKET.","1850-1899"
"À rebours","Joris-Karl Huysmans","1884","Fantasy","/works/OL2239396W","À rebours (French pronunciation: [a ʁ(ə).buʁ]; translated Against Nature or Against the Grain) is an 1884 novel by the French writer Joris-Karl Huysmans. The narrative centers on a single character: Jean des Esseintes, an eccentric, reclusive, ailing aesthete. The last scion of an aristocratic family, Des Esseintes loathes nineteenth-century bourgeois society and tries to retreat into an ideal artistic world of his own creation. The narrative is almost entirely a catalogue of the neurotic Des Esseintes's aesthetic tastes, musings on literature, painting, and religion, and hyperaesthetic sensory experiences.

À rebours contains many themes that became associated with the Symbolist aesthetic. In doing so, it broke from Naturalism and became the ultimate example of ""Decadent"" literature, inspiring works such as Oscar Wilde's The Picture of Dorian Gray (1890). In his preface for the 1903 publication of the novel, Huysmans wrote that he had the idea to portray a man ""soaring upwards into dream, seeking refuge in illusions of extravagant fantasy, living alone, far from his century, among memories of more congenial times, of less base surroundings ... each chapter became the sublimate of a specialism, the refinement of a different art; it became condensed into an essence of jewellery, perfumes, religious and secular literature, of profane music and plain-chant."" (Wikipedia)","1850-1899"
"The Secret Agent","Joseph Conrad","1907","Fantasy","/works/OL39108W","**The Secret Agent: A Simple Tale** is a novel by Joseph Conrad, first published in 1907. The story is set in London in 1886 and deals with Mr. Adolf Verloc and his work as a spy for an unnamed country (presumably Russia). The Secret Agent is one of Conrad's later political novels in which he moved away from his former tales of seafaring. The novel is dedicated to H. G. Wells and deals broadly with anarchism, espionage, and terrorism. It also deals with exploitation of the vulnerable in Verloc's relationship with his brother-in-law Stevie, who has an intellectual disability. Conrad’s gloomy portrait of London depicted in the novel was influenced by Charles Dickens’ *Bleak House*.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/The_Secret_Agent))","1900-1949"
"Puck of Pook's Hill","Rudyard Kipling","1900","Fantasy","/works/OL20165W","The children were at the Theatre, acting to Three Cows as much as they could remember of Midsummer Night's Dream.  Their father had made them a small play out of the big Shakespeare one, and they had rehearsed it with him and with their mother till they could say it by heart.  They began when Nick Bottom the weaver comes out of the bushes with a donkey's head on his shoulders, and finds Titania,  Queen of the Fairies, asleep.  The children are put in deep holes in the ground and then shot. The Queen of The Fairies was going to save them but she fell a sleep in the bushes.","1900-1949"
"Harry Potter and the Chamber of Secrets","J. K. Rowling","1998","Fantasy","/works/OL82537W","Throughout the summer holidays after his first year at Hogwarts School of Witchcraft and Wizardry, Harry Potter has been receiving sinister warnings from a house-elf called Dobby.

Now, back at school to start his second year, Harry hears unintelligible whispers echoing through the corridors.

Before long the attacks begin: students are found as if turned to stone.

Dobby’s predictions seem to be coming true.

[Source][1]


  [1]: https://www.jkrowling.com/book/harry-potter-chamber-secrets/","1990-1999"
"The Fellowship of the Ring","J.R.R. Tolkien","1954","Fantasy","/works/OL27513W","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

“A unique, wholly realized other world, evoked from deep in the well of Time, massively detailed, absorbingly entertaining, profound in meaning.”—The New York Times

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.","1950-1969"
"The Enchanted Island of Yew","L. Frank Baum","1903","Fantasy","/works/OL262388W","A beautiful fairy is transformed into a human prince for one year. He and his friends have many adventures.","1900-1949"
"After London","Richard Jefferies","1885","Fantasy","/works/OL1176822W","pages ; cm","1850-1899"
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling","1999","Fantasy","/works/OL82536W","For Harry Potter, it’s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped – and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harry’s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss – in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/","1990-1999"
"The Two Towers","J.R.R. Tolkien","1954","Fantasy","/works/OL27479W","The Lord of the Rings, J.R.R. Tolkien's three-volume epic, is set in the imaginary world of Middle-earth -- home to many strange beings, and most notably hobbits, a peace-loving ""little people,"" cheerful and shy. Since its original British publication in 1954-55, the saga has entranced readers of all ages. It is at once a classic myth and a modern fairy tale. Critic Michael Straight has hailed it as one of the ""very few works of genius in recent literature."" Middle-earth is a world receptive to poets, scholars, children, and all other people of good will. Donald Barr has described it as ""a scrubbed morning world, and a ringing nightmare world...especially sunlit, and shadowed by perils very fundamental, of a peculiarly uncompounded darkness."" The story of this world is one of high and heroic adventure. Barr compared it to Beowulf, C.S. Lewis to Orlando Furioso, W.H. Auden to The Thirty-nine Steps. In fact the saga is sui generis -- a triumph of imagination which springs to life within its own framework and on its own terms. - Jacket flap.

Frodo and the Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in the battle with an evil spirit in the Mines of Moria; and at the Falls of Rauros, Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape the rest of the company were attacked by Orcs. Now they continue their journey alone down the great River Anduin – alone, that is, save for the mysterious creeping figure that follows wherever they go. J.R.R. Tolkien’s great work of imaginative fiction has been labelled both a heroic romance and a classic fantasy fiction. By turns comic and homely, epic and diabolic, the narrative moves through countless changes of scene and character in an imaginary world which is totally convincing in its detail.

----------
**Also contained in:**

 - [The Lord of the Rings][1]


  [1]: https://openlibrary.org/works/OL27448W/The_Lord_of_the_Rings","1950-1969"
"The Return of the King","J.R.R. Tolkien","1950","Fantasy","/works/OL27455W","THE RETURN OF THE KING, which brings to a close the great epic of war and adventure begun in The Fellowship of the Ring and continued in The Two Towers, is the third and final part of J. R. R. Tolkien's masterpiece, ""The Lord of the Rings.""

In these three books, which form one continuous narrative, Tolkien created the saga of the Hobbits of Middle-earth and the great War of the Rings. Praised by such writers and poets as W. H. Auden, Richard Hughes and C. S. Lewis, ""The Lord of the Rings"" - that special world of beauty and terror and meaning - holds a secure place among the books that will live.

----------
**Also contained in:**

 - [The Lord of the Rings][1]


  [1]: https://openlibrary.org/works/OL27448W/The_Lord_of_the_Rings","1950-1969"
"The Royal Book of Oz","Ruth Plumly Thompson","1921","Fantasy","/works/OL1156218W","Scarecrow searches for his family tree and discovers that he is the Long Lost Emperor of the Silver Island.","1900-1949"
"Jurgen","James Branch Cabell","1919","Fantasy","/works/OL6585796W","""Jurgen: A Comedy of Justice,"" an entry in the Poictesme series, is an epic fantasy voyage as well as an erotic fable. Cabell himself wrote: ""This fable is, as the world itself, a book wherein each man will find what his nature enables him to see; which gives us back each his own image; and which teaches us each the lesson that each of us desires to learn."" Jurgen was banned for decades because of its explicit content. It was, and remains, a groundbreaking early fantasy novel and a worthy addition to the Wildside Fantasy Classics line.","1900-1949"
"The wood beyond the world","William Morris","1894","Fantasy","/works/OL47752W","<p><a href=""https://standardebooks.org/ebooks/william-morris"">William Morris</a> is famous in no small part for his contributions to defining the genre of modern fantasy literature, and <i>The Wood Beyond the World</i> is a classic example of that influence. Written in a purposefully-antiquated prose style reminiscent of Sir Thomas Malory or other aged fairy tales, <i>The Wood Beyond the World</i> can be difficult for some readers; but those who follow through will enjoy a charming and influential series of picaresque adventures.</p>
			<p>The book follows Golden Walter, a man leaving home who finds himself swept away to an enchanted land. He encounters a fair maiden who is trapped by an enchantress and her consort. Walter must, like all good heroes, save the maiden and see if they can make it to happily ever after.</p>","1850-1899"
"Harry Potter and the Order of the Phoenix","J. K. Rowling","2003","Fantasy","/works/OL82548W","After the Dementors’ attack on his cousin Dudley, Harry knows he is about to become Voldemort’s next target.

Although many are denying the Dark Lord’s return, Harry is not alone, and a secret order is gathering at Grimmauld Place to fight against the Dark forces.

Meanwhile, Voldemort’s savage assaults on Harry’s mind are growing stronger every day.

He must allow Professor Snape to teach him to protect himself before he runs out of time.
([source][1])


----------
This work has also been published in multiple volumes. See:

 - [Harry Potter and the Order of the Phoenix: III](https://openlibrary.org/works/OL17937113W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_17-23)
 - [Harry Potter and the Order of the Phoenix: IV](https://openlibrary.org/works/OL17915213W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_24-30)

  [1]: https://www.jkrowling.com/book/harry-potter-order-phoenix/","2000-2009"
"Harry Potter and the Goblet of Fire","J. K. Rowling","2000","Fantasy","/works/OL82560W","The fourth book in the Harry Potter franchise sees Harry returning for his fourth year at Hogwarts School of Witchcraft and Wizardry, along with his friends, Ron and Hermione . There is an upcoming tournament between the three major schools of magic, with one participant selected from each school by the Goblet of Fire. When Harry's name is drawn, even though he is not eligible and is a fourth player, he must compete in the dangerous contest.


----------
Contains:

 - [Harry Potter and the Goblet of Fire. 2/4](https://openlibrary.org/works/OL17910198W/Harry_Potter_and_the_Goblet_of_Fire._2_4)","2000-2009"
